id,idpel,nama,koordinat_x,koordinat_y,nama_kabupaten,nama_kecamatan,nama_kelurahan
701128,533711248712,"PJU *** **** *******",-6.90668540000000,108.46339560000000,"KAB. KUNINGAN",JALAKSANA,SANGKANERANG
701129,533711248690,"PJU *** **** *** *******",-6.90460970000000,108.48845240000000,"KAB. KUNINGAN",JALAKSANA,MANISLOR
701130,533711249125,"PJU *** **** *** *******",-6.92351170000000,108.48078330000000,"KAB. KUNINGAN",JALAKSANA,BABAKANMULYA
701131,533711247943,"PJU *** **** *******",-6.88529530000000,108.55042870000000,"KAB. KUNINGAN",CIGANDAMEKAR,KOREAK
701132,533711252064,"PJU *** **** *******",-6.82105000000000,108.48086500000000,"KAB. KUNINGAN",PANCALANG,TAJURBUNTU
701133,533711248787,"PJU *** **** *******",-6.92409230000000,108.47795310000000,"KAB. KUNINGAN",JALAKSANA,BABAKANMULYA
701134,533711249260,"PJU *** **** *** *******",-6.92360390000000,108.49180060000000,"KAB. KUNINGAN",JALAKSANA,NANGGERANG
701135,533711249826,"PJU *** **** *** *******",-6.80468330000000,108.43104830000000,"KAB. KUNINGAN",PASAWAHAN,PASAWAHAN
701136,533711251693,"PJU *** **** *** *******",-6.85100000000000,108.47344000000000,"KAB. KUNINGAN",MANDIRANCAN,RANDOBAWAGIRANG
701137,533711251445,"PJU *** **** *** *******",-6.82924880000000,108.45528300000000,"KAB. KUNINGAN",MANDIRANCAN,SEDA
701138,533711251478,"PJU *** **** *** *******",-6.79846610000000,108.46114090000000,"KAB. KUNINGAN",MANDIRANCAN,CIREA
701139,533711251494,"PJU *** **** *** *******",-6.82524670000000,108.46733500000000,"KAB. KUNINGAN",MANDIRANCAN,KERTAWINANGUN
701140,533711251723,"PJU *** **** *** *******",-6.82977690000000,108.47339430000000,"KAB. KUNINGAN",MANDIRANCAN,RANDOBAWAILIR
701141,533711251390,"PJU *** **** *** *******",-6.83048830000000,108.47162830000000,"KAB. KUNINGAN",MANDIRANCAN,KERTAWINANGUN
701142,533711251279,"PJU *** **** *** *******",-6.85820440000000,108.49199790000000,"KAB. KUNINGAN",CILIMUS,KALIAREN
701143,533711246591,"PJU *** **** *** *******",-6.87771830000000,108.49635830000000,"KAB. KUNINGAN",JAPARA,GARATENGAH
701144,533711249190,"PJU *** **** *** *******",-6.91386870000000,108.47380650000000,"KAB. KUNINGAN",JALAKSANA,SADAMANTRA
701145,533711249286,"PJU *** **** *** *******",-6.90428920000000,108.47362550000000,"KAB. KUNINGAN",JALAKSANA,SEMBAWA
701146,533711252717,"PJU ****** *** ******** *",-6.93694480000000,108.47722720000000,"KAB. KUNINGAN",KRAMATMULYA,CIBENTANG
701147,533711252829,"PJU *** ******** **",-6.93517210000000,108.51840620000000,"KAB. KUNINGAN",JALAKSANA,SINDANGBARANG
701148,533711252845,"PJU *** ******** **",-6.93380120000000,108.51905220000000,"KAB. KUNINGAN",JALAKSANA,SINDANGBARANG
701149,533711252741,"PJU ****** *** ******** *",-6.94161980000000,108.49803870000000,"KAB. KUNINGAN",KRAMATMULYA,CIKASO
701150,533711251948,"PJU *** **** *******",-6.87477500000000,108.46939170000000,"KAB. KUNINGAN",CILIMUS,SETIANEGARA
701151,533711247897,"PJU *** **** ** ******",-6.88076240000000,108.54504050000000,"KAB. KUNINGAN",CIGANDAMEKAR,INDAPATRA
701152,533711246567,"PJU *** **** ******",-6.87774330000000,108.49637670000000,"KAB. KUNINGAN",JAPARA,SINGKUP
701153,533711249905,"PJU *** **** *******",-6.83592510000000,108.44095790000000,"KAB. KUNINGAN",PASAWAHAN,CIBUNTU
701167,533711251183,"PJU *** **** *** *******",-6.86815010000000,108.51170340000000,"KAB. KUNINGAN",CILIMUS,CILIMUS
701168,533711251644,"PJU *** **** ** *******",-6.86699360000000,108.50218320000000,"KAB. KUNINGAN",CILIMUS,CILIMUS
701169,533711251573,"PJU *** **** *** *******",-6.82401830000000,108.46712670000000,"KAB. KUNINGAN",MANDIRANCAN,NANGGERANGJAYA
701170,533711252056,"PJU *** **** *******",-6.87885000000000,108.49530670000000,"KAB. KUNINGAN",CILIMUS,BOJONG
701171,533711251317,"PJU *** **** ** *******",-6.86710100000000,108.49754460000000,"KAB. KUNINGAN",CILIMUS,CILIMUS
701172,533711251212,"PJU *** **** *** *******",-6.88732110000000,108.48741320000000,"KAB. KUNINGAN",CILIMUS,BANDORASAWETAN
701173,533313264477,"PJU *** ******",-6.75637040000000,108.47883900000000,"KAB. CIREBON",SUMBER,TUKMUDAL
701174,533313263993,"PJU *** *****",-6.78706711111100,108.49268331111000,"KAB. CIREBON",TALUN,KUBANG
701175,533313264436,"PJU *** ******",-6.75589510000000,108.49831820000000,"KAB. CIREBON",SUMBER,SENDANG
701176,533312943165,"PJU ****** *****",-6.70511311111000,108.51235111110000,"KAB. CIREBON",DUKUPUNTANG,BOBOS
701181,533310009657,"WAR**** ***** ***** *    ",-6.75063990000000,108.48950420000000,"KAB. CIREBON",SUMBER,PERBUTULAN
701182,533310009665,"WAR**** ***** ***** *    ",-6.75053770000000,108.48946140000000,"KAB. CIREBON",SUMBER,PERBUTULAN
701188,533313148782,"PJU ** *********",-6.67150468111110,108.50748211111000,"KAB. CIREBON",PLERED,CANGKRING
701189,533313148230,"PJU ** *****",-6.72825660000000,108.50554490000000,"KAB. CIREBON","TENGAH TANI",PALIR
701190,533313148829,"PJU ** ********** *",-6.65723000000000,108.36703050000000,"KAB. CIREBON",SUSUKAN,SUSUKAN
701191,533113321433,"PJU ** ******** *",-6.76662238111110,108.51485721111000,"KAB. CIREBON",TALUN,SAMPIRAN
701192,533313147971,"PJU *** * ***** ******",-6.60384400000000,108.34110200000000,"KAB. CIREBON",SUSUKAN,UJUNGGEBANG
701194,533312728275,"PJU *********** *********",-6.69125580000000,108.46859270000000,"KAB. CIREBON",PLUMBON,PASANGGRAHAN
701195,533312996191,"PJU ** ***** *",-6.72043670000000,108.45970670000000,"KAB. CIREBON",PLUMBON,LURAH
701196,533313148940,"PJU ** ******** *",-6.71043270000000,108.48392880000000,"KAB. CIREBON",PLUMBON,BODESARI
701197,533312825467,"PJU *** ****** *****",-6.69719881111110,108.51264041111000,"KAB. CIREBON",PLERED,"TRUSMI KULON"
701198,533313170819,"PJU *** ********",-6.61138100000000,108.37492350000000,"KAB. CIREBON",SUSUKAN,JATIPURA
701199,533313149082,"PJU ** ******* *",-6.75662000000000,108.49909000000000,"KAB. CIREBON",SUMBER,SENDANG
701200,533312806590,"PJU **** ********",-6.73353000000000,108.42445190000000,"KAB. CIREBON",PALIMANAN,CILUKRAK
701201,533313173816,"PJU ********",-6.58590760000000,108.36804940000000,"KAB. CIREBON",SUSUKAN,JATIANOM
